rowNUM,facility,trifID,lat,long,totalONSITE,totalOFFSITE,totalONOFF
1,"A FINKL & SONS CO DBA FINKL STEEL - CHICAGO.1355 E 93RD ST, CHICAGO ILLINOIS 60619 (COOK)",60619VRSNC1355E,41.729,-87.592,272.61,"968,491.00","968,763.61"
2,"AALLIED DIE CASTING CO OF IL.3021 CULLERTON DR, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131LLDDC3021C,41.934,-87.891,"1,062.80",0,"1,062.80"
3,"ABLE DIE CASTING CORP.3907 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",6017WBLDCS397WE,41.95,-87.863,27.3933,0,27.3933
4,"ABLE ELECTROPOLISHING CO INC.2001 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623BLLCT2001S,41.854,-87.736,"16,353.40","24,917.32","41,270.72"
5,"ACCELERATED ASSEMBLIES INC.725 NICHOLAS BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",6000WCCLRT725NI,42.015,-87.951,0,0,0
6,"ACCU  LABS INC.4831 S WHIPPLE ST, CHICAGO ILLINOIS 60632 (COOK)",60632RNNC04831S,41.805,-87.7,0,"94,041.00","94,041.00"
7,"ACCURATE ANODIZING.3130 S AUSTIN BLVD, CICERO ILLINOIS 60804 (COOK)",60650CCRTN3130S,41.835,-87.774,26,"2,515.50","2,541.50"
8,"ACCURATE DISPERSIONS.1111 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",60430CCRTD1111M,41.567,-87.645,48,"4,461.16","4,509.16"
9,"ACCURATE DISPERSIONS.192 W 155TH ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",60473MCWHR192W1,41.614,-87.622,"6,705.00","8,669.05","15,374.05"
10,"ACCURATE THREADED FASTNERS.3550 W PRATT, LINCOLNWOOD ILLINOIS 60712 (COOK)",60645CCRTT3550W,42.006,-87.718,0,0,0
11,"ACE ANODIZING & IMPREGNATING INC.4161 BUTTERFIELD RD, HILLSIDE ILLINOIS 60162 (COOK)",60162CNDZN4161B,41.881,-87.888,"1,385.00","4,666.92","6,051.92"
12,"ACE MIDWEST.2448 W 24TH ST, CHICAGO ILLINOIS 60608 (COOK)",60608LSTMR2448W,41.849,-87.687,0,250,250
13,"ACID PRODUCTS CO INC.600 W 41ST ST, CHICAGO ILLINOIS 60609 (COOK)",60609CDPRD6W41S,41.821,-87.642,0.03,0,0.03
14,"ACME ALLIANCE LLC.3610 COMMERCIAL AVE, NORTHBROOK ILLINOIS 60062 (COOK)",60062CMDCS3610C,42.147,-87.868,3,14.1,17.1
15,"AIRGAS SPECIALTY PRODUCTS-RIVERDALE IL.1200 W 138TH ST, RIVERDALE ILLINOIS 60827 (COOK)",60827LRCHN1200W,41.644,-87.652,"1,550.00",0,"1,550.00"
16,"ALLIED METAL CO.4528 W DIVISION ST, CHICAGO ILLINOIS 60651 (COOK)",60651LLDMT4528W,41.903,-87.739,"2,742.00",0,"2,742.00"
17,"ALLIED TUBE & CONDUIT CORP.16100 S LATHROP AVE, HARVEY ILLINOIS 60426 (COOK)",60426LLDTB16100,41.596,-87.642,"172,966.00","16,163.00","189,129.00"
18,"ALUMINUM COIL ANODIZING CORP.501 E LAKE ST, STREAMWOOD ILLINOIS 60107 (COOK)",60107LMNMC501EA,42.001,-88.174,331,"9,296.50","9,627.50"
19,"AMERICAN NTN BEARING MANUFACTURING CORP.9515 WINONA AVE, SCHILLER PARK ILLINOIS 60176 (COOK)",60176MRCNN9515W,41.971,-87.866,0,0,0
20,"AMERICAN ZINC RECYCLING CORP.2701 E 114TH ST, CHICAGO ILLINOIS 60617 (COOK)",60617HRSHD2701E,41.687,-87.555,"3,591.15","934,135.69","937,726.84"
21,"AMITRON CORP.2001 LANDMEIER RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MTRNC2001L,42.01,-87.953,94.03,"32,268.48","32,362.51"
22,"AMPEL INC.925 ESTES AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MPLNC925ES,42.006,-87.974,7.44,557.12,564.56
